agent_id,persona_base,persona_mixture,income_monthly,housing_ratio,wtp_monthly,bed_need,sf_pref_low,sf_pref_high,floor_pref,noise_tol,elasticity,cultural_fit,availability_month,style_words,amenity_rank
A0011,young_pro,"{'young_pro': 0.278, 'grad_student_intl': 0.267, 'affluent_couple': 0.166, 'med_resident': 0.167, 'retired_urbanite': 0.122}",7457.0,0.322,2517,2,437,633,high,med,1.03,0.62,3,"['soft_light', 'soft_brightness', 'warm_wood']","['community_room', 'study_lounge', '24hr_access']"
A0012,young_pro,"{'young_pro': 0.351, 'grad_student_intl': 0.289, 'affluent_couple': 0.178, 'med_resident': 0.112, 'retired_urbanite': 0.071}",8677.0,0.321,2709,1,539,805,med,high,0.99,0.76,1,"['budget_friendly', 'soft_light', 'matte_black']","['roof_deck', 'gym', 'laundry']"
A0013,young_pro,"{'young_pro': 0.35, 'grad_student_intl': 0.279, 'affluent_couple': 0.144, 'med_resident': 0.133, 'retired_urbanite': 0.094}",7367.0,0.291,2148,2,329,523,med,high,0.97,0.69,3,"['minimal', 'soft_light', 'warm_wood']","['wifi', 'gym', 'in_unit_laundry']"
A0014,young_pro,"{'young_pro': 0.296, 'grad_student_intl': 0.249, 'affluent_couple': 0.165, 'med_resident': 0.156, 'retired_urbanite': 0.135}",9635.0,0.271,2702,2,668,871,med,low,1.04,0.6,6,"['warm_wood', 'soft_light', 'matte_black']","['wifi', 'elevator_proximity', 'study_lounge']"
A0015,young_pro,"{'young_pro': 0.267, 'grad_student_intl': 0.238, 'affluent_couple': 0.202, 'med_resident': 0.17, 'retired_urbanite': 0.124}",6514.0,0.293,1849,1,387,571,high,med,1.17,0.48,8,"['warm_wood', 'calm_tone', 'compact']","['concierge', 'elevator_proximity', 'gym']"
A0016,young_pro,"{'young_pro': 0.311, 'grad_student_intl': 0.254, 'affluent_couple': 0.223, 'med_resident': 0.111, 'retired_urbanite': 0.101}",8209.0,0.308,2629,2,574,792,med,high,1.09,0.44,6,"['soft_light', 'matte_black', 'minimal']","['roof_deck', 'laundry_shared', 'package_room']"
A0017,grad_student_intl,"{'young_pro': 0.289, 'grad_student_intl': 0.343, 'affluent_couple': 0.146, 'med_resident': 0.136, 'retired_urbanite': 0.087}",8606.0,0.315,2694,0,525,685,med,low,1.2,0.62,1,"['minimal', 'task_lighting', 'classic']","['bike_storage', '24hr_access', 'study_lounge']"
A0018,young_pro,"{'young_pro': 0.349, 'grad_student_intl': 0.264, 'affluent_couple': 0.168, 'med_resident': 0.14, 'retired_urbanite': 0.079}",9812.0,0.293,2734,1,700,922,med,low,1.09,0.78,2,"['warm_wood', 'calm_tone', 'soft_light']","['gym', 'concierge', 'roof_deck']"
A0019,young_pro,"{'young_pro': 0.386, 'grad_student_intl': 0.222, 'affluent_couple': 0.113, 'med_resident': 0.138, 'retired_urbanite': 0.141}",6342.0,0.281,1753,1,414,647,med,high,0.88,0.59,4,"['warm_wood', 'matte_black', 'compact']","['in_unit_laundry', 'bike_storage', 'roof_deck']"
A0020,grad_student_intl,"{'young_pro': 0.236, 'grad_student_intl': 0.291, 'affluent_couple': 0.183, 'med_resident': 0.24, 'retired_urbanite': 0.05}",11027.0,0.253,2843,1,498,661,low,med,0.97,0.57,1,"['warm_wood', 'matte_black', 'classic']","['study_lounge', 'laundry_shared', '24hr_access']"
A0021,young_pro,"{'young_pro': 0.369, 'grad_student_intl': 0.174, 'affluent_couple': 0.134, 'med_resident': 0.179, 'retired_urbanite': 0.145}",8398.0,0.269,2308,2,544,716,low,low,1.03,0.67,1,"['soft_light', 'task_lighting', 'minimal']","['24hr_access', 'gym', 'laundry']"
A0022,young_pro,"{'young_pro': 0.314, 'grad_student_intl': 0.265, 'affluent_couple': 0.166, 'med_resident': 0.138, 'retired_urbanite': 0.117}",10466.0,0.264,2782,1,612,769,low,med,1.07,0.37,2,"['matte_black', 'soft_brightness', 'warm_wood']","['study_lounge', 'laundry_shared', 'elevator_proximity']"
A0023,young_pro,"{'young_pro': 0.316, 'grad_student_intl': 0.267, 'affluent_couple': 0.199, 'med_resident': 0.121, 'retired_urbanite': 0.097}",10923.0,0.258,2887,2,533,658,high,med,0.81,0.54,2,"['task_lighting', 'soft_light', 'budget_friendly']","['in_unit_laundry', 'study_lounge', 'bike_storage']"
A0024,young_pro,"{'young_pro': 0.295, 'grad_student_intl': 0.247, 'affluent_couple': 0.15, 'med_resident': 0.164, 'retired_urbanite': 0.143}",7040.0,0.323,2378,1,737,932,low,low,0.98,0.66,1,"['soft_light', 'budget_friendly', 'minimal']","['laundry', 'wifi', 'gym']"
A0025,affluent_couple,"{'young_pro': 0.233, 'grad_student_intl': 0.255, 'affluent_couple': 0.277, 'med_resident': 0.106, 'retired_urbanite': 0.129}",5704.0,0.327,1900,2,459,633,low,med,1.07,0.73,5,"['matte_black', 'calm', 'task_lighting']","['roof_deck', 'wifi', 'gym']"
A0026,young_pro,"{'young_pro': 0.318, 'grad_student_intl': 0.205, 'affluent_couple': 0.225, 'med_resident': 0.122, 'retired_urbanite': 0.129}",7427.0,0.305,2367,1,505,733,high,med,1.13,0.56,12,"['task_lighting', 'modern_lux', 'minimal']","['laundry', 'gym', 'package_room']"
A0027,grad_student_intl,"{'young_pro': 0.262, 'grad_student_intl': 0.305, 'affluent_couple': 0.203, 'med_resident': 0.125, 'retired_urbanite': 0.105}",3956.0,0.282,1101,2,657,882,high,low,0.97,0.65,2,"['soft_light', 'warm_wood', 'budget_friendly']","['24hr_access', 'concierge', 'study_lounge']"
A0028,young_pro,"{'young_pro': 0.344, 'grad_student_intl': 0.213, 'affluent_couple': 0.197, 'med_resident': 0.128, 'retired_urbanite': 0.118}",8926.0,0.252,2285,1,478,696,med,low,1.1,0.63,9,"['soft_light', 'art_display', 'calm_tone']","['in_unit_laundry', 'gym', 'roof_deck']"
A0029,young_pro,"{'young_pro': 0.356, 'grad_student_intl': 0.175, 'affluent_couple': 0.23, 'med_resident': 0.095, 'retired_urbanite': 0.144}",7726.0,0.259,1945,2,559,708,high,med,1.17,0.72,3,"['task_lighting', 'soft_brightness', 'minimal']","['package_room', 'in_unit_laundry', 'bike_storage']"
A0030,young_pro,"{'young_pro': 0.24, 'grad_student_intl': 0.239, 'affluent_couple': 0.172, 'med_resident': 0.205, 'retired_urbanite': 0.144}",5480.0,0.288,1630,2,686,813,med,med,0.91,0.42,2,"['soft_light', 'minimal', 'warm_wood']","['concierge', 'laundry_shared', 'bike_storage']"
A0031,young_pro,"{'young_pro': 0.326, 'grad_student_intl': 0.241, 'affluent_couple': 0.212, 'med_resident': 0.154, 'retired_urbanite': 0.068}",7720.0,0.329,2568,1,449,555,low,low,1.14,0.68,3,"['modern_lux', 'budget_friendly', 'minimal']","['concierge', 'bike_storage', 'laundry_shared']"
A0032,young_pro,"{'young_pro': 0.342, 'grad_student_intl': 0.194, 'affluent_couple': 0.167, 'med_resident': 0.178, 'retired_urbanite': 0.118}",6471.0,0.327,2032,1,495,745,low,high,0.92,0.36,2,"['budget_friendly', 'warm_wood', 'soft_brightness']","['quiet_zone', 'in_unit_laundry', 'wifi']"
A0033,grad_student_intl,"{'young_pro': 0.25, 'grad_student_intl': 0.3, 'affluent_couple': 0.179, 'med_resident': 0.148, 'retired_urbanite': 0.124}",8444.0,0.288,2522,2,320,535,med,med,0.99,0.19,1,"['matte_black', 'modern_lux', 'minimal']","['24hr_access', 'study_lounge', 'wifi']"
A0034,young_pro,"{'young_pro': 0.322, 'grad_student_intl': 0.265, 'affluent_couple': 0.175, 'med_resident': 0.185, 'retired_urbanite': 0.053}",10097.0,0.254,2682,0,635,848,med,low,1.17,0.5,1,"['minimal', 'task_lighting', 'compact']","['community_room', 'wifi', 'gym']"
A0035,young_pro,"{'young_pro': 0.327, 'grad_student_intl': 0.162, 'affluent_couple': 0.226, 'med_resident': 0.153, 'retired_urbanite': 0.132}",9418.0,0.29,2653,2,600,788,med,high,1.03,0.46,7,"['calm', 'matte_black', 'minimal']","['gym', '24hr_access', 'roof_deck']"
A0036,young_pro,"{'young_pro': 0.279, 'grad_student_intl': 0.254, 'affluent_couple': 0.264, 'med_resident': 0.153, 'retired_urbanite': 0.049}",9425.0,0.268,2596,1,543,736,med,med,1.11,0.72,1,"['minimal', 'task_lighting', 'art_display']","['in_unit_laundry', 'package_room', 'laundry']"
A0037,young_pro,"{'young_pro': 0.304, 'grad_student_intl': 0.251, 'affluent_couple': 0.197, 'med_resident': 0.162, 'retired_urbanite': 0.086}",7943.0,0.322,2526,1,527,731,high,med,1.05,0.69,2,"['art_display', 'classic', 'task_lighting']","['package_room', 'concierge', 'in_unit_laundry']"
A0038,young_pro,"{'young_pro': 0.259, 'grad_student_intl': 0.23, 'affluent_couple': 0.223, 'med_resident': 0.178, 'retired_urbanite': 0.109}",9946.0,0.279,2742,1,431,593,low,high,0.97,0.41,4,"['minimal', 'warm_wood', 'art_display']","['bike_storage', 'gym', 'laundry']"
A0039,young_pro,"{'young_pro': 0.346, 'grad_student_intl': 0.265, 'affluent_couple': 0.209, 'med_resident': 0.111, 'retired_urbanite': 0.07}",8762.0,0.291,2590,2,527,697,high,low,0.93,0.72,1,"['task_lighting', 'soft_light', 'calm_tone']","['gym', '24hr_access', 'in_unit_laundry']"
A0040,affluent_couple,"{'young_pro': 0.206, 'grad_student_intl': 0.223, 'affluent_couple': 0.329, 'med_resident': 0.098, 'retired_urbanite': 0.144}",8357.0,0.303,2640,1,578,762,low,low,1.02,0.45,3,"['warm_wood', 'task_lighting', 'classic']","['accessibility', 'gym', 'wifi']"
A0041,young_pro,"{'young_pro': 0.37, 'grad_student_intl': 0.161, 'affluent_couple': 0.212, 'med_resident': 0.184, 'retired_urbanite': 0.072}",9617.0,0.267,2587,1,599,780,high,high,1.02,0.58,3,"['non_slip', 'modern_lux', 'task_lighting']","['gym', 'in_unit_laundry', 'laundry_shared']"
A0042,young_pro,"{'young_pro': 0.312, 'grad_student_intl': 0.19, 'affluent_couple': 0.241, 'med_resident': 0.176, 'retired_urbanite': 0.08}",6501.0,0.328,2098,1,515,741,low,med,0.84,0.55,2,"['minimal', 'task_lighting', 'non_slip']","['roof_deck', 'in_unit_laundry', 'gym']"
A0043,young_pro,"{'young_pro': 0.357, 'grad_student_intl': 0.255, 'affluent_couple': 0.197, 'med_resident': 0.154, 'retired_urbanite': 0.038}",10763.0,0.282,2945,2,488,637,high,high,1.01,0.61,1,"['calm_tone', 'warm_wood', 'art_display']","['study_lounge', 'gym', 'in_unit_laundry']"
A0044,young_pro,"{'young_pro': 0.304, 'grad_student_intl': 0.241, 'affluent_couple': 0.235, 'med_resident': 0.123, 'retired_urbanite': 0.098}",7423.0,0.3,2260,1,503,684,med,high,1.1,0.72,4,"['minimal', 'soft_light', 'warm_wood']","['gym', 'study_lounge', 'elevator_proximity']"
A0045,grad_student_intl,"{'young_pro': 0.261, 'grad_student_intl': 0.3, 'affluent_couple': 0.182, 'med_resident': 0.142, 'retired_urbanite': 0.115}",7494.0,0.279,2120,3,506,675,med,med,1.06,0.68,1,"['soft_light', 'non_slip', 'soft_brightness']","['concierge', 'elevator_proximity', 'in_unit_laundry']"
A0046,young_pro,"{'young_pro': 0.318, 'grad_student_intl': 0.313, 'affluent_couple': 0.126, 'med_resident': 0.113, 'retired_urbanite': 0.13}",5095.0,0.262,1395,2,563,757,med,low,1.02,0.64,1,"['soft_brightness', 'minimal', 'task_lighting']","['gym', 'roof_deck', 'package_room']"
A0047,young_pro,"{'young_pro': 0.376, 'grad_student_intl': 0.214, 'affluent_couple': 0.165, 'med_resident': 0.141, 'retired_urbanite': 0.104}",9232.0,0.313,3026,1,486,633,low,med,1.08,0.69,1,"['modern_lux', 'soft_light', 'matte_black']","['study_lounge', 'gym', 'concierge']"
A0048,grad_student_intl,"{'young_pro': 0.319, 'grad_student_intl': 0.324, 'affluent_couple': 0.132, 'med_resident': 0.153, 'retired_urbanite': 0.073}",6383.0,0.279,1810,2,555,736,med,low,0.88,0.65,1,"['non_slip', 'task_lighting', 'soft_light']","['gym', 'study_lounge', 'roof_deck']"
A0049,young_pro,"{'young_pro': 0.267, 'grad_student_intl': 0.244, 'affluent_couple': 0.214, 'med_resident': 0.215, 'retired_urbanite': 0.061}",5339.0,0.259,1411,0,645,853,med,med,1.01,0.49,2,"['soft_light', 'modern_lux', 'matte_black']","['gym', 'study_lounge', 'laundry']"
A0050,young_pro,"{'young_pro': 0.29, 'grad_student_intl': 0.249, 'affluent_couple': 0.2, 'med_resident': 0.146, 'retired_urbanite': 0.116}",8530.0,0.262,2123,1,519,687,med,low,1.05,0.48,4,"['soft_light', 'minimal', 'warm_wood']","['roof_deck', 'elevator_proximity', 'bike_storage']"
A0051,young_pro,"{'young_pro': 0.356, 'grad_student_intl': 0.228, 'affluent_couple': 0.183, 'med_resident': 0.128, 'retired_urbanite': 0.105}",6531.0,0.258,1689,1,709,884,med,med,0.98,0.52,1,"['warm_wood', 'compact', 'minimal']","['roof_deck', 'gym', 'laundry_shared']"
A0052,grad_student_intl,"{'young_pro': 0.234, 'grad_student_intl': 0.274, 'affluent_couple': 0.176, 'med_resident': 0.226, 'retired_urbanite': 0.089}",8252.0,0.285,2417,1,553,712,med,med,0.98,0.66,2,"['matte_black', 'soft_light', 'warm_wood']","['gym', 'bike_storage', 'study_lounge']"
A0053,young_pro,"{'young_pro': 0.239, 'grad_student_intl': 0.22, 'affluent_couple': 0.207, 'med_resident': 0.207, 'retired_urbanite': 0.127}",7204.0,0.286,2124,0,454,624,high,low,0.96,0.55,2,"['warm_wood', 'classic', 'soft_light']","['wifi', 'bike_storage', 'community_room']"
A0054,young_pro,"{'young_pro': 0.344, 'grad_student_intl': 0.236, 'affluent_couple': 0.233, 'med_resident': 0.128, 'retired_urbanite': 0.058}",10539.0,0.282,3069,2,581,781,med,low,0.95,0.94,1,"['modern_lux', 'budget_friendly', 'non_slip']","['gym', 'in_unit_laundry', 'study_lounge']"
A0055,grad_student_intl,"{'young_pro': 0.21, 'grad_student_intl': 0.311, 'affluent_couple': 0.186, 'med_resident': 0.194, 'retired_urbanite': 0.099}",7953.0,0.306,2491,2,495,630,low,med,0.91,0.46,1,"['non_slip', 'warm_wood', 'soft_brightness']","['community_room', 'wifi', 'roof_deck']"
A0056,young_pro,"{'young_pro': 0.376, 'grad_student_intl': 0.224, 'affluent_couple': 0.211, 'med_resident': 0.109, 'retired_urbanite': 0.08}",6600.0,0.33,2244,2,523,658,low,low,0.99,0.43,2,"['art_display', 'minimal', 'budget_friendly']","['laundry_shared', 'study_lounge', 'in_unit_laundry']"
A0057,young_pro,"{'young_pro': 0.295, 'grad_student_intl': 0.262, 'affluent_couple': 0.19, 'med_resident': 0.16, 'retired_urbanite': 0.093}",7227.0,0.319,2383,2,503,696,high,med,0.95,0.7,3,"['modern_lux', 'minimal', 'soft_light']","['concierge', 'study_lounge', '24hr_access']"
A0058,affluent_couple,"{'young_pro': 0.231, 'grad_student_intl': 0.256, 'affluent_couple': 0.292, 'med_resident': 0.125, 'retired_urbanite': 0.097}",5879.0,0.282,1575,2,468,693,high,med,1.12,0.81,3,"['warm_wood', 'soft_light', 'non_slip']","['community_room', 'laundry', 'study_lounge']"
A0059,young_pro,"{'young_pro': 0.256, 'grad_student_intl': 0.222, 'affluent_couple': 0.23, 'med_resident': 0.178, 'retired_urbanite': 0.114}",4984.0,0.311,1570,1,630,814,high,med,0.91,0.67,3,"['soft_light', 'budget_friendly', 'compact']","['laundry', 'gym', 'study_lounge']"
A0060,young_pro,"{'young_pro': 0.346, 'grad_student_intl': 0.265, 'affluent_couple': 0.154, 'med_resident': 0.158, 'retired_urbanite': 0.076}",7817.0,0.286,2164,2,565,767,med,med,1.0,0.71,3,"['classic', 'minimal', 'task_lighting']","['24hr_access', 'roof_deck', 'gym']"
A0061,young_pro,"{'young_pro': 0.323, 'grad_student_intl': 0.232, 'affluent_couple': 0.216, 'med_resident': 0.162, 'retired_urbanite': 0.067}",9448.0,0.254,2439,2,746,930,med,med,1.04,0.81,3,"['minimal', 'calm_tone', 'warm_wood']","['laundry_shared', '24hr_access', 'elevator_proximity']"
A0062,young_pro,"{'young_pro': 0.358, 'grad_student_intl': 0.172, 'affluent_couple': 0.212, 'med_resident': 0.155, 'retired_urbanite': 0.102}",7673.0,0.321,2471,1,652,806,low,med,1.06,0.58,8,"['minimal', 'warm_wood', 'soft_brightness']","['in_unit_laundry', '24hr_access', 'wifi']"
A0063,young_pro,"{'young_pro': 0.332, 'grad_student_intl': 0.273, 'affluent_couple': 0.18, 'med_resident': 0.159, 'retired_urbanite': 0.058}",8383.0,0.329,2744,1,618,815,high,low,0.93,0.37,2,"['soft_light', 'minimal', 'art_display']","['gym', 'wifi', 'roof_deck']"
A0064,young_pro,"{'young_pro': 0.305, 'grad_student_intl': 0.26, 'affluent_couple': 0.228, 'med_resident': 0.074, 'retired_urbanite': 0.134}",9972.0,0.259,2513,1,482,603,high,low,1.0,0.51,1,"['task_lighting', 'warm_wood', 'soft_light']","['gym', 'elevator_proximity', 'study_lounge']"
A0065,young_pro,"{'young_pro': 0.3, 'grad_student_intl': 0.284, 'affluent_couple': 0.239, 'med_resident': 0.104, 'retired_urbanite': 0.073}",10322.0,0.28,2887,1,320,516,high,low,1.05,0.74,1,"['warm_wood', 'minimal', 'modern_lux']","['bike_storage', 'gym', 'laundry']"
A0066,young_pro,"{'young_pro': 0.312, 'grad_student_intl': 0.281, 'affluent_couple': 0.15, 'med_resident': 0.151, 'retired_urbanite': 0.105}",7812.0,0.293,2181,1,572,709,high,low,1.14,0.37,1,"['soft_light', 'budget_friendly', 'art_display']","['in_unit_laundry', 'concierge', 'quiet_zone']"
A0067,young_pro,"{'young_pro': 0.33, 'grad_student_intl': 0.268, 'affluent_couple': 0.162, 'med_resident': 0.145, 'retired_urbanite': 0.095}",10656.0,0.26,2646,1,387,589,med,high,0.85,0.59,1,"['minimal', 'warm_wood', 'soft_brightness']","['24hr_access', 'laundry', 'in_unit_laundry']"
A0068,young_pro,"{'young_pro': 0.317, 'grad_student_intl': 0.199, 'affluent_couple': 0.157, 'med_resident': 0.162, 'retired_urbanite': 0.165}",11077.0,0.28,3101,2,385,502,med,low,0.97,0.63,2,"['minimal', 'warm_wood', 'task_lighting']","['laundry', 'roof_deck', 'laundry_shared']"
A0069,young_pro,"{'young_pro': 0.291, 'grad_student_intl': 0.267, 'affluent_couple': 0.166, 'med_resident': 0.169, 'retired_urbanite': 0.106}",11934.0,0.309,3732,1,501,617,high,high,1.02,0.54,1,"['soft_light', 'warm_wood', 'art_display']","['gym', 'elevator_proximity', 'package_room']"
A0070,young_pro,"{'young_pro': 0.322, 'grad_student_intl': 0.212, 'affluent_couple': 0.241, 'med_resident': 0.144, 'retired_urbanite': 0.08}",8256.0,0.315,2595,1,539,701,med,med,1.05,0.7,2,"['task_lighting', 'warm_wood', 'soft_light']","['elevator_proximity', 'gym', 'roof_deck']"
A0071,young_pro,"{'young_pro': 0.282, 'grad_student_intl': 0.247, 'affluent_couple': 0.213, 'med_resident': 0.191, 'retired_urbanite': 0.067}",9302.0,0.319,2863,1,471,684,low,med,1.03,0.68,1,"['warm_wood', 'minimal', 'budget_friendly']","['roof_deck', 'gym', 'laundry']"
A0072,young_pro,"{'young_pro': 0.308, 'grad_student_intl': 0.218, 'affluent_couple': 0.212, 'med_resident': 0.195, 'retired_urbanite': 0.068}",8730.0,0.33,2970,2,734,893,low,med,1.0,0.94,3,"['soft_light', 'minimal', 'modern_lux']","['study_lounge', 'gym', 'laundry_shared']"
A0073,young_pro,"{'young_pro': 0.306, 'grad_student_intl': 0.291, 'affluent_couple': 0.135, 'med_resident': 0.153, 'retired_urbanite': 0.115}",8878.0,0.308,2835,2,512,650,med,low,1.02,0.68,5,"['soft_brightness', 'warm_wood', 'calm_tone']","['laundry', 'elevator_proximity', 'study_lounge']"
A0074,young_pro,"{'young_pro': 0.266, 'grad_student_intl': 0.244, 'affluent_couple': 0.211, 'med_resident': 0.129, 'retired_urbanite': 0.151}",9883.0,0.295,3055,2,624,751,low,low,0.86,0.5,1,"['calm', 'modern_lux', 'soft_light']","['gym', 'package_room', 'community_room']"
A0075,young_pro,"{'young_pro': 0.338, 'grad_student_intl': 0.194, 'affluent_couple': 0.196, 'med_resident': 0.196, 'retired_urbanite': 0.077}",7029.0,0.267,1840,2,511,758,med,med,0.94,0.51,6,"['soft_light', 'calm', 'compact']","['study_lounge', 'bike_storage', 'package_room']"
A0076,young_pro,"{'young_pro': 0.265, 'grad_student_intl': 0.224, 'affluent_couple': 0.231, 'med_resident': 0.146, 'retired_urbanite': 0.133}",8201.0,0.279,2216,1,528,756,med,low,1.09,0.47,1,"['compact', 'warm_wood', 'task_lighting']","['study_lounge', 'accessibility', 'bike_storage']"
A0077,young_pro,"{'young_pro': 0.256, 'grad_student_intl': 0.233, 'affluent_couple': 0.214, 'med_resident': 0.137, 'retired_urbanite': 0.159}",4865.0,0.317,1554,1,612,842,high,low,1.03,0.74,1,"['warm_wood', 'soft_light', 'soft_brightness']","['roof_deck', '24hr_access', 'laundry_shared']"
A0078,young_pro,"{'young_pro': 0.304, 'grad_student_intl': 0.211, 'affluent_couple': 0.208, 'med_resident': 0.148, 'retired_urbanite': 0.129}",8373.0,0.256,2094,1,578,704,high,low,1.03,0.51,2,"['calm_tone', 'minimal', 'art_display']","['community_room', 'gym', 'laundry']"
A0079,young_pro,"{'young_pro': 0.341, 'grad_student_intl': 0.319, 'affluent_couple': 0.17, 'med_resident': 0.129, 'retired_urbanite': 0.042}",6878.0,0.285,1919,1,584,714,med,med,1.05,0.58,4,"['warm_wood', 'soft_light', 'compact']","['package_room', 'quiet_zone', 'roof_deck']"
A0080,young_pro,"{'young_pro': 0.26, 'grad_student_intl': 0.219, 'affluent_couple': 0.232, 'med_resident': 0.197, 'retired_urbanite': 0.091}",7068.0,0.291,2011,1,455,661,low,med,1.17,0.7,1,"['warm_wood', 'soft_light', 'modern_lux']","['roof_deck', 'gym', 'study_lounge']"
A0081,young_pro,"{'young_pro': 0.25, 'grad_student_intl': 0.217, 'affluent_couple': 0.23, 'med_resident': 0.181, 'retired_urbanite': 0.121}",7482.0,0.321,2285,1,594,758,med,med,1.05,0.48,2,"['minimal', 'calm', 'classic']","['bike_storage', 'community_room', 'study_lounge']"
A0082,young_pro,"{'young_pro': 0.282, 'grad_student_intl': 0.263, 'affluent_couple': 0.246, 'med_resident': 0.111, 'retired_urbanite': 0.099}",7234.0,0.266,1963,2,464,710,med,low,0.92,0.55,2,"['minimal', 'soft_light', 'art_display']","['24hr_access', 'roof_deck', 'study_lounge']"
A0083,grad_student_intl,"{'young_pro': 0.277, 'grad_student_intl': 0.289, 'affluent_couple': 0.19, 'med_resident': 0.158, 'retired_urbanite': 0.086}",4631.0,0.268,1300,0,476,639,med,med,0.86,0.31,1,"['soft_light', 'calm_tone', 'warm_wood']","['laundry_shared', 'wifi', 'gym']"
A0084,young_pro,"{'young_pro': 0.31, 'grad_student_intl': 0.279, 'affluent_couple': 0.225, 'med_resident': 0.091, 'retired_urbanite': 0.095}",7984.0,0.32,2480,1,582,769,low,low,1.01,0.43,4,"['task_lighting', 'minimal', 'compact']","['in_unit_laundry', '24hr_access', 'bike_storage']"
A0085,grad_student_intl,"{'young_pro': 0.269, 'grad_student_intl': 0.337, 'affluent_couple': 0.139, 'med_resident': 0.169, 'retired_urbanite': 0.086}",7435.0,0.284,2044,1,508,746,med,med,0.94,0.5,2,"['non_slip', 'calm_tone', 'modern_lux']","['gym', 'laundry_shared', 'bike_storage']"
A0086,young_pro,"{'young_pro': 0.274, 'grad_student_intl': 0.234, 'affluent_couple': 0.241, 'med_resident': 0.153, 'retired_urbanite': 0.098}",9276.0,0.306,2786,1,518,745,high,med,1.03,0.66,2,"['soft_light', 'calm_tone', 'warm_wood']","['accessibility', 'gym', 'laundry_shared']"
A0087,young_pro,"{'young_pro': 0.245, 'grad_student_intl': 0.235, 'affluent_couple': 0.228, 'med_resident': 0.2, 'retired_urbanite': 0.092}",6987.0,0.329,2412,1,472,678,med,high,0.9,0.77,4,"['budget_friendly', 'soft_light', 'compact']","['bike_storage', 'roof_deck', 'concierge']"
